[2025/04/30 - 16:05:19] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 16:05:58] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 16:06:54] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 16:26:37] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 16:28:20] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 16:52:39] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 16:53:27] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 17:04:31] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 17:20:18] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/04/30 - 17:27:06] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/01 - 17:32:08] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/01 - 19:00:58] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/04 - 13:15:59] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/04 - 13:16:39] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/04 - 13:16:48] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/05 - 15:56:29] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/08 - 21:13:12] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/12 - 18:45:42] Jefe: Carlos Gomez Martinez | DNI: 12345678A
[2025/05/13 - 18:04:03] Jefe: Carlos Gomez Martinez | DNI: 12345678A
